Date,Q_ke,Q_assim_base,Q_assim_Budyko,ET_ke,ET_assim_base,ET_assim_Budyko,S_ke,S_assim_base,S_assim_Budyko,G_ke,G_assim_base,G_assim_Budyko,Qs_ke,Qs_assim_base,Qs_assim_Budyko,Qb_ke,Qb_assim_base,Qb_assim_Budyko,Perc_ke,Perc_assim_base,Perc_assim_Budyko,omega_true,omega_mlr
2006-09-01,76.20232275130269,76.04469925087945,76.038659562878,29.00835571289062,93.77402226257324,105.04177856445312,0.0,8.090249024749749,0.0,2.6460984292628122,2.9286122106519756,0.07594976977888829,76.0334228515625,76.0334228515625,76.0334228515625,0.1688998997401795,0.011276399316939302,0.0052367113154829885,0.0,0.0,0.0,8.309129624538505,6.23616131635142
2006-10-01,20.090958898919833,26.580108945602984,19.9367499793508,14.983048248291013,43.00549026620483,34.91524124145508,0.0,0.0,0.0,2.4873325235070434,2.54847834570935,0.06609148966158856,19.932192993164065,26.404392212963867,19.932192993164065,0.15876590575576874,0.17571673263911852,0.004556986186733297,0.0,0.0,0.0,7.329917539408283,6.45628672498823
2006-11-01,0.1492399514104226,0.152908700742561,0.003965489379695313,8.193660736083984,8.193660736083984,8.193660736083984,0.0,0.0,0.0,2.338092572096621,2.217685856436276,0.05751281430351438,0.0,0.0,0.0,0.1492399514104226,0.152908700742561,0.003965489379695313,0.0,0.0,0.0,6.387940646888123,6.64635123167832
2006-12-01,0.7805412916304848,0.7733168886908641,0.6437065061628984,10.160063934326171,10.330457942008975,10.80031967163086,0.0,0.33736072186851446,0.0,2.1978070177708235,2.0451326092178324,0.05004765100691821,0.6402557373046875,0.6402557373046875,0.6402557373046875,0.14028555432579723,0.13306115138617655,0.003450768858210863,0.0,0.0,0.0,6.088801133942413,6.878602377927366
2007-01-01,0.1318684210662494,0.12270795655306993,0.0030028590604150923,1.2586177587509155,1.5959784806194295,1.2586177587509155,0.0,0.0,0.0,2.0659385967045742,1.7796743965413568,0.043551465906220235,0.0,0.0,0.0,0.1318684210662494,0.12270795655306993,0.0030028590604150923,0.0,2.2204460492503132e-17,0.0,3.99200483861775,7.557811525868913
2007-02-01,15.693689583300293,15.678763584518592,15.572134080128018,5.55519437789917,4.805243301868437,5.625952819356678,7.9144411611556995,17.681239724389084,17.091970290832524,2.3335388436121085,7.591726386753396,5.879553051477348,15.544740295410158,15.544740295410158,15.544740295410158,0.14894928789013456,0.13402328910843372,0.027393784717860793,0.41654953479766843,0.45404708859920506,0.413011612724793,6.129477339935377,7.338562253043768
2007-03-01,58.81804353102566,66.94697363420084,66.37282768723904,24.66950780010223,53.49472298049928,61.07150478204679,0.0,28.446883270770112,22.583658483965383,2.193526512995382,16.3288310898687,12.834978278201383,58.67803120040893,66.49147005099564,66.0200545041504,0.1400123306167265,0.45550358320520373,0.35277318308864086,0.0,0.0,0.0,9.339317247592682,6.848945857273566
2007-04-01,97.58285670796724,121.18848159919571,116.2882706010519,34.362811279296864,83.18276142883302,126.36148496824826,0.0,26.690489620432572,7.850265020851059,2.061914922215659,23.331563391301117,13.85204374523928,97.45124511718751,120.2087517338036,115.51817190435982,0.13161159077972293,0.9797298653921219,0.770098696692083,0.0,0.0,0.0,2.452095227925532,6.509016895887375
2007-05-01,151.6279019070517,174.41611494557395,158.76385995238527,47.87604675292968,0.0,0.0,0.0,0.0,0.0,1.9382000268827198,20.303126454691768,12.05404846150218,151.50418701171876,172.85657870806483,157.7843990283996,0.12371489533293954,1.5595362375091155,0.9794609239856565,0.0,2.6607072338508093,2.4723049878549945,2.49508843453343,6.139055088961003
2007-06-01,56.55326099575359,57.65515658142213,57.160211901830756,24.109242248535153,80.54621124267578,80.54621124267578,0.0,0.0,0.0,1.8219080252697566,17.667780640872778,10.489432971199195,56.43696899414063,56.43696899414063,56.43696899414063,0.11629200161296319,1.218187587281506,0.7232429076901308,0.0,0.0,0.0,2.604917055803463,5.915363086525806
2007-07-01,56.979291288156816,57.930043645092994,57.49934278491258,24.217494201660152,81.08747100830078,81.08747100830078,0.0,0.0,0.0,1.712593543753571,15.374502713687491,9.12790457153754,56.86997680664063,56.86997680664063,56.86997680664063,0.10931448151618539,1.0600668384523666,0.6293659782719516,0.0,0.0,0.0,4.687088818929593,5.792582029890067
