Basin,Kperc,Kb,Ke,Cqq,S_init,G_init,Smax,KGE
01415000,0.998,0.898,0.562,0.651,0.35,0.15,0.05,0.474
02469800,0.133,0.989,0.346,0.192,0.35,0.15,0.05,0.471
02371500,0.123,0.982,0.811,0.14,0.35,0.15,0.05,0.471
02465493,0.994,0.705,0.972,0.992,0.35,0.15,0.05,0.47
06280300,0.035,0.991,0.471,0.69,0.35,0.15,0.05,0.469
08013000,0.077,0.991,0.778,0.14,0.35,0.15,0.05,0.468
06917000,0.031,0.996,0.69,0.244,0.35,0.15,0.05,0.467
02112120,0.834,0.991,0.801,0.855,0.35,0.15,0.05,0.465
06191500,0.024,0.956,0.498,0.296,0.35,0.15,0.05,0.464
07376000,0.051,0.993,0.257,0.244,0.35,0.15,0.05,0.46
03346000,0.077,0.988,0.985,0.179,0.35,0.15,0.05,0.46
01606500,0.172,0.919,0.934,0.103,0.35,0.15,0.05,0.459
02069700,0.89,0.992,0.966,0.341,0.35,0.15,0.05,0.457
03076600,0.654,0.996,0.782,0.626,0.35,0.15,0.05,0.455
04216418,0.758,0.76,0.845,0.112,0.35,0.15,0.05,0.454
04127997,0.055,0.996,0.547,0.215,0.35,0.15,0.05,0.453
03340800,0.106,0.996,0.719,0.396,0.35,0.15,0.05,0.452
05593900,0.164,0.997,0.811,0.372,0.35,0.15,0.05,0.451
08324000,0.076,0.419,0.516,0.105,0.35,0.15,0.05,0.451
05595730,0.071,0.995,0.632,0.196,0.35,0.15,0.05,0.451
03070500,0.271,0.927,0.818,0.104,0.35,0.15,0.05,0.45
10263500,0.99,0.597,0.982,0.102,0.35,0.15,0.05,0.449
02481000,0.9,0.914,0.924,0.104,0.35,0.15,0.05,0.448
11124500,0.133,0.996,0.725,0.174,0.35,0.15,0.05,0.447
03364500,0.152,0.991,0.73,0.659,0.35,0.15,0.05,0.446
07014500,0.019,0.998,0.699,0.111,0.35,0.15,0.05,0.445
02479300,0.347,0.92,0.711,0.101,0.35,0.15,0.05,0.444
02372250,0.058,0.99,0.574,0.131,0.35,0.15,0.05,0.443
04122200,0.077,0.987,0.454,0.135,0.35,0.15,0.05,0.443
14020000,0.994,0.872,0.894,0.348,0.35,0.15,0.05,0.442
03384450,0.228,0.995,0.962,0.709,0.35,0.15,0.05,0.442
01451800,0.703,0.879,0.93,0.108,0.35,0.15,0.05,0.439
03170000,0.015,0.99,0.637,0.195,0.35,0.15,0.05,0.438
06450500,0.011,0.559,0.208,0.101,0.35,0.15,0.05,0.434
01485500,0.668,0.858,0.96,0.127,0.35,0.15,0.05,0.434
12411000,0.458,0.825,0.815,0.11,0.35,0.15,0.05,0.433
