like1,parKperc,parKb,parKe,parCqq,parBias,parS_init,parG_init,chain
15.11,0.6675,0.747,0.9214,0.9995,0.8955,24.25,773.5,0.0
16.67,0.5015,0.3608,0.67,0.999,0.3145,82.8,158.9,0.0
26.33,0.3376,0.8237,0.582,0.999,0.834,1766.0,1055.0,0.0
33.84,0.746,0.2864,0.4902,0.999,-0.871,1150.0,499.8,0.0
3.953,0.872,0.138,0.908,0.9995,-0.629,244.1,1927.0,0.0
10000.0,0.268,0.295,0.0681,0.9995,0.4011,893.5,1332.0,0.0
51.62,0.0597,0.2861,0.3142,0.9995,-0.2896,1421.0,284.8,0.0
10000.0,0.766,0.4832,0.2883,0.9995,0.6245,1092.0,1712.0,0.0
1.179,0.11523,0.3464,0.7144,0.9995,-0.605,542.0,1604.0,0.0
10000.0,0.0904,0.573,0.1937,1.0,-0.02382,311.2,1182.0,0.0
28.19,0.3967,0.9253,0.5796,1.0,0.010345,1674.0,928.5,0.0
4.055,0.506,0.3223,0.9243,0.9995,-0.05008,69.1,970.5,0.0
14.625,0.2642,0.4365,0.5933,0.9995,0.296,1704.0,1657.0,0.0
34.0,0.4229,0.6606,0.4917,0.9995,-0.596,292.8,1088.0,0.0
29.4,0.7915,0.7524,0.732,0.9995,0.05865,753.0,964.0,0.0
10000.0,0.8677,0.7603,0.1985,0.9995,0.5737,1409.0,202.9,0.0
10000.0,0.5703,0.8164,0.2069,0.9995,0.747,479.0,108.25,0.0
16.52,0.3518,0.1456,0.636,0.999,0.9946,476.5,575.0,0.0
0.1519,0.06824,0.2485,0.836,0.9995,0.0605,94.25,1343.0,0.0
10000.0,0.274,0.5757,0.1978,0.9995,0.04767,1742.0,527.5,0.0
31.78,0.1272,0.92,0.425,0.999,0.7363,1809.0,1505.0,0.0
21.88,0.525,0.1294,0.5317,0.9995,0.0521,393.8,682.5,0.0
10000.0,0.935,0.2678,0.2042,0.9995,-0.552,549.5,646.5,0.0
44.06,0.9546,0.9023,0.7153,1.0,0.3506,1589.0,123.2,0.0
59.3,0.9487,0.89,0.5977,0.9995,0.1791,1551.0,1423.0,0.0
10000.0,0.0495,0.62,0.1048,0.9995,0.3853,1187.0,1398.0,0.0
0.2322,0.0856,0.945,0.993,0.999,-0.463,1767.0,315.2,0.0
6.145,0.443,0.7393,0.9214,1.0,-0.752,1047.0,1883.0,0.0
10000.0,0.3418,0.4475,0.1791,0.9995,-0.606,335.5,554.0,0.0
10000.0,0.3826,0.8184,0.12427,0.999,-0.3438,783.0,1232.0,0.0
0.5747,0.1224,0.6147,0.9214,0.999,-0.1827,740.5,512.5,0.0
95.1,0.776,0.2676,0.3213,0.9995,0.2244,1553.0,426.8,0.0
3.918,0.07837,0.9463,0.639,0.999,-0.0909,1131.0,676.0,0.0
21.11,0.923,0.325,0.761,1.0,0.4834,90.44,1047.0,0.0
10000.0,0.6055,0.877,0.1191,0.9995,-0.00936,1382.0,329.0,0.0
60.75,0.8096,0.2068,0.4202,0.9995,0.831,601.5,100.1,0.0
2.805,0.04578,0.555,0.8467,0.999,0.503,1176.0,1640.0,0.0
10000.0,0.9297,0.664,0.05206,0.9995,0.5376,1440.0,818.0,0.0
8.47,0.8687,0.1796,0.8022,0.9995,-0.751,1761.0,834.0,0.0
3.822,0.0408,0.1449,0.9595,0.9995,0.6826,1131.0,717.0,0.0
5.566,0.787,0.1608,0.9453,1.0,0.1423,325.5,1004.0,0.0
86.56,0.5146,0.2607,0.3079,1.0,-0.8105,1423.0,1903.0,0.0
10000.0,0.903,0.3423,0.05634,0.999,-0.116,1563.0,1771.0,0.0
10000.0,0.862,0.8525,0.1595,0.999,0.181,1493.0,1409.0,0.0
10000.0,0.221,0.4941,0.1755,0.9995,-0.585,67.7,1637.0,0.0
11.086,0.6562,0.4756,0.956,0.9995,0.8955,935.5,1706.0,0.0
10.625,0.1438,0.227,0.5435,0.999,0.2646,1877.0,1404.0,0.0
67.1,0.893,0.595,0.4546,0.9995,-0.0809,944.0,949.5,0.0
10000.0,0.3062,0.2585,0.07214,1.0,-0.3267,502.0,1205.0,0.0
24.4,0.5103,0.134,0.5146,0.9995,0.1186,1383.0,1171.0,0.0
10000.0,0.92,0.8765,0.2479,0.9995,-0.3887,447.8,864.0,0.0
10000.0,0.5835,0.938,0.2808,0.999,-0.08093,970.0,922.0,0.0
16.52,0.3298,0.2793,0.5254,1.0,-0.5254,251.2,655.0,0.0
10000.0,0.6626,0.742,0.3352,0.999,-0.713,1744.0,883.0,0.0
29.03,0.351,0.853,0.524,0.9995,-0.421,1828.0,1343.0,0.0
25.8,0.173,0.747,0.4724,1.0,0.4548,899.5,1716.0,0.0
28.28,0.6724,0.4082,0.585,0.9995,0.2136,108.5,1902.0,0.0
10000.0,0.2383,0.547,0.132,0.9995,0.636,585.5,1328.0,0.0
10000.0,0.4346,0.953,0.178,0.999,-0.7686,1591.0,307.2,0.0
5.11,0.7114,0.11066,0.7686,1.0,-0.8633,1234.0,1077.0,0.0
9.55,0.2903,0.9756,0.7974,0.9995,-0.563,605.0,1731.0,0.0
10000.0,0.03146,0.143,0.2235,0.999,-0.8325,1763.0,1624.0,0.0
10000.0,0.935,0.95,0.03436,0.999,0.7686,1704.0,1223.0,0.0
10000.0,0.814,0.4114,0.0932,0.999,0.991,597.0,449.8,0.0
49.9,0.9385,0.6494,0.558,0.9995,-0.7144,850.5,145.6,0.0
0.8286,0.04517,0.9365,0.649,0.999,-0.4592,1176.0,425.0,0.0
